,date,open,high,low,close,volume,s,tic
0,2022-04-01,1489.47,1516.87,1484.13,1516.44,881661100,ok,VNINDEX
1,2022-04-04,1530.02,1530.95,1522.82,1524.7,734587100,ok,VNINDEX
2,2022-04-05,1521.37,1527.57,1519.28,1520.03,663110500,ok,VNINDEX
3,2022-04-06,1513.17,1523.75,1507.62,1522.9,912695000,ok,VNINDEX
4,2022-04-07,1524.12,1524.92,1502.35,1502.35,763664700,ok,VNINDEX
5,2022-04-08,1501.61,1507.73,1482.0,1482.0,741103600,ok,VNINDEX
6,2022-04-12,1487.86,1490.58,1455.25,1455.25,656188800,ok,VNINDEX
7,2022-04-13,1459.48,1477.2,1448.52,1477.2,636344500,ok,VNINDEX
8,2022-04-14,1481.5,1484.34,1471.75,1472.12,498914000,ok,VNINDEX
9,2022-04-15,1470.53,1478.95,1456.39,1458.56,639722900,ok,VNINDEX
10,2022-04-18,1456.47,1456.47,1425.07,1432.6,790646000,ok,VNINDEX
11,2022-04-19,1435.78,1442.04,1406.45,1406.45,666337000,ok,VNINDEX
12,2022-04-20,1401.63,1410.64,1384.72,1384.72,652803300,ok,VNINDEX
13,2022-04-21,1369.8,1392.33,1356.58,1370.21,741348500,ok,VNINDEX
14,2022-04-22,1378.28,1392.89,1352.43,1379.23,799750600,ok,VNINDEX
15,2022-04-25,1377.75,1382.13,1298.38,1310.92,696873600,ok,VNINDEX
16,2022-04-26,1285.4,1341.34,1261.4,1341.34,673169600,ok,VNINDEX
17,2022-04-27,1340.07,1355.92,1314.81,1353.77,485406800,ok,VNINDEX
18,2022-04-28,1353.71,1358.07,1344.17,1350.99,458334600,ok,VNINDEX
19,2022-04-29,1347.08,1369.31,1343.24,1366.8,532838100,ok,VNINDEX
20,2022-05-04,1366.11,1366.39,1348.68,1348.68,498884800,ok,VNINDEX
21,2022-05-05,1361.62,1362.18,1331.41,1360.68,510234300,ok,VNINDEX
22,2022-05-06,1333.55,1333.55,1328.13,1329.26,510678900,ok,VNINDEX
23,2022-05-09,1313.49,1314.52,1265.54,1269.62,627609200,ok,VNINDEX
24,2022-05-10,1240.93,1293.56,1232.57,1293.56,600766800,ok,VNINDEX
25,2022-05-11,1295.39,1305.17,1277.91,1301.53,380880400,ok,VNINDEX
26,2022-05-12,1290.4,1291.65,1238.05,1238.84,516642600,ok,VNINDEX
27,2022-05-13,1235.03,1237.8,1180.6,1182.77,736096200,ok,VNINDEX
28,2022-05-16,1208.05,1215.96,1170.59,1171.95,551353400,ok,VNINDEX
29,2022-05-17,1164.32,1228.37,1156.54,1228.37,542868100,ok,VNINDEX
30,2022-05-18,1240.06,1249.84,1222.92,1240.76,514538800,ok,VNINDEX
31,2022-05-19,1211.31,1246.66,1210.43,1241.64,459858400,ok,VNINDEX
32,2022-05-20,1240.72,1252.96,1232.33,1240.71,465793600,ok,VNINDEX
33,2022-05-23,1246.56,1246.58,1207.99,1218.81,488979100,ok,VNINDEX
34,2022-05-24,1218.87,1233.38,1203.28,1233.38,479498700,ok,VNINDEX
35,2022-05-25,1238.52,1268.43,1234.17,1268.43,616951500,ok,VNINDEX
36,2022-05-26,1273.8,1278.11,1261.55,1268.57,514352700,ok,VNINDEX
37,2022-05-27,1270.56,1286.99,1269.29,1285.45,578174500,ok,VNINDEX
38,2022-05-30,1290.11,1296.22,1281.27,1293.92,499452600,ok,VNINDEX
39,2022-05-31,1288.63,1297.64,1280.44,1292.68,543596100,ok,VNINDEX
40,2022-06-01,1289.56,1302.25,1286.01,1299.52,505619500,ok,VNINDEX
41,2022-06-02,1300.58,1302.66,1283.32,1288.62,527933000,ok,VNINDEX
42,2022-06-03,1284.62,1292.78,1276.37,1287.98,393832200,ok,VNINDEX
43,2022-06-06,1290.04,1302.14,1281.95,1290.01,541562900,ok,VNINDEX
44,2022-06-07,1285.07,1291.35,1260.92,1291.35,625987600,ok,VNINDEX
45,2022-06-08,1297.56,1316.78,1294.27,1307.91,543305900,ok,VNINDEX
46,2022-06-09,1310.35,1312.44,1300.85,1307.8,436340700,ok,VNINDEX
47,2022-06-10,1298.78,1309.59,1284.08,1284.08,561068400,ok,VNINDEX
48,2022-06-13,1251.08,1261.54,1226.01,1227.04,709415500,ok,VNINDEX
49,2022-06-14,1213.44,1239.36,1211.13,1230.31,519177100,ok,VNINDEX
50,2022-06-15,1231.23,1235.56,1195.19,1213.93,626914600,ok,VNINDEX
51,2022-06-16,1227.24,1246.32,1223.0,1236.63,522295400,ok,VNINDEX
52,2022-06-17,1210.5,1220.41,1191.92,1217.3,684022500,ok,VNINDEX
53,2022-06-20,1218.37,1221.6,1180.4,1180.4,620002900,ok,VNINDEX
54,2022-06-21,1172.98,1189.97,1162.94,1172.47,607711900,ok,VNINDEX
55,2022-06-22,1180.11,1185.86,1162.98,1169.27,529135300,ok,VNINDEX
56,2022-06-23,1162.06,1188.88,1162.06,1188.88,380442900,ok,VNINDEX
57,2022-06-24,1190.82,1196.85,1185.48,1185.48,410876800,ok,VNINDEX
58,2022-06-27,1189.12,1203.51,1187.38,1202.82,429735700,ok,VNINDEX
59,2022-06-28,1202.41,1221.74,1198.99,1218.1,534186600,ok,VNINDEX
60,2022-06-29,1208.22,1219.58,1207.38,1218.09,519299900,ok,VNINDEX
61,2022-06-30,1218.22,1220.51,1197.6,1197.6,471576000,ok,VNINDEX
62,2022-07-01,1193.04,1202.41,1170.95,1198.9,498479000,ok,VNINDEX
63,2022-07-04,1206.47,1208.96,1192.63,1195.53,403314600,ok,VNINDEX
64,2022-07-05,1198.42,1200.99,1181.29,1181.29,559493000,ok,VNINDEX
65,2022-07-06,1167.25,1175.26,1147.63,1149.61,511773800,ok,VNINDEX
66,2022-07-07,1148.97,1166.48,1142.8,1166.48,362816600,ok,VNINDEX
67,2022-07-08,1174.53,1177.18,1164.23,1171.31,437189300,ok,VNINDEX
68,2022-07-11,1161.3,1165.6,1144.55,1155.29,488732000,ok,VNINDEX
69,2022-07-12,1154.31,1174.82,1153.55,1174.82,475429100,ok,VNINDEX
70,2022-07-13,1173.46,1182.21,1170.92,1173.92,522379700,ok,VNINDEX
71,2022-07-14,1170.7,1182.17,1170.04,1182.17,490512400,ok,VNINDEX
72,2022-07-15,1183.15,1189.66,1178.12,1179.25,543854200,ok,VNINDEX
73,2022-07-18,1184.74,1184.93,1174.7,1176.49,480514500,ok,VNINDEX
74,2022-07-19,1176.1,1180.46,1168.99,1178.33,479006800,ok,VNINDEX
75,2022-07-20,1188.12,1198.63,1185.82,1194.14,601098600,ok,VNINDEX
76,2022-07-21,1195.03,1201.91,1194.89,1198.47,500949000,ok,VNINDEX
77,2022-07-22,1199.16,1202.69,1194.76,1194.76,448428100,ok,VNINDEX
78,2022-07-25,1191.43,1198.16,1184.32,1188.5,410066000,ok,VNINDEX
79,2022-07-26,1189.2,1194.15,1184.44,1185.07,388328300,ok,VNINDEX
80,2022-07-27,1180.83,1191.04,1178.58,1191.04,387799200,ok,VNINDEX
81,2022-07-28,1201.77,1214.03,1201.77,1208.12,620546700,ok,VNINDEX
82,2022-07-29,1214.32,1217.84,1206.33,1206.33,537058300,ok,VNINDEX
83,2022-08-01,1209.05,1231.35,1206.46,1231.35,681871300,ok,VNINDEX
84,2022-08-02,1230.31,1241.91,1224.11,1241.62,734388200,ok,VNINDEX
85,2022-08-03,1233.84,1250.2,1232.41,1249.76,702358600,ok,VNINDEX
86,2022-08-04,1252.49,1257.38,1247.38,1254.15,655935800,ok,VNINDEX
87,2022-08-05,1250.25,1253.75,1245.05,1252.74,604391400,ok,VNINDEX
88,2022-08-08,1252.36,1258.84,1252.04,1256.75,634015600,ok,VNINDEX
89,2022-08-09,1260.36,1263.14,1252.84,1258.85,655262300,ok,VNINDEX
90,2022-08-10,1255.69,1260.36,1253.89,1256.5,584384800,ok,VNINDEX
91,2022-08-11,1261.91,1268.03,1245.85,1252.07,765336500,ok,VNINDEX
92,2022-08-12,1250.76,1262.33,1248.65,1262.33,508817800,ok,VNINDEX
93,2022-08-15,1268.56,1274.24,1268.02,1274.2,585580500,ok,VNINDEX
94,2022-08-16,1274.18,1275.93,1271.11,1274.69,572322300,ok,VNINDEX
95,2022-08-17,1276.76,1280.61,1271.97,1275.28,644581600,ok,VNINDEX
96,2022-08-18,1273.45,1283.15,1268.64,1273.66,558424300,ok,VNINDEX
97,2022-08-19,1272.04,1280.0,1263.45,1269.18,568209800,ok,VNINDEX
98,2022-08-22,1268.52,1270.57,1255.83,1260.43,566785900,ok,VNINDEX
99,2022-08-23,1253.45,1270.81,1253.45,1270.81,520796300,ok,VNINDEX
100,2022-08-24,1275.57,1280.36,1272.33,1277.16,519810800,ok,VNINDEX
101,2022-08-25,1279.45,1289.18,1279.45,1288.88,562124700,ok,VNINDEX
102,2022-08-26,1291.29,1295.12,1280.05,1282.57,614354500,ok,VNINDEX
103,2022-08-29,1263.43,1271.56,1249.17,1270.8,793997300,ok,VNINDEX
104,2022-08-30,1271.01,1287.65,1271.01,1279.39,473770000,ok,VNINDEX
105,2022-08-31,1276.65,1285.29,1274.99,1280.51,462420100,ok,VNINDEX
106,2022-09-05,1280.34,1285.7,1275.35,1277.35,466166300,ok,VNINDEX
107,2022-09-06,1279.58,1286.92,1277.4,1277.4,537987600,ok,VNINDEX
108,2022-09-07,1274.68,1275.07,1243.17,1243.17,796593600,ok,VNINDEX
109,2022-09-08,1251.22,1251.36,1234.6,1234.6,557779800,ok,VNINDEX
110,2022-09-09,1241.26,1248.78,1228.54,1248.78,542039800,ok,VNINDEX
111,2022-09-12,1255.16,1257.8,1248.97,1249.62,390724400,ok,VNINDEX
112,2022-09-13,1251.1,1252.35,1243.87,1248.4,410707400,ok,VNINDEX
113,2022-09-14,1229.76,1242.17,1228.51,1240.77,574337900,ok,VNINDEX
114,2022-09-15,1246.92,1250.93,1243.45,1245.66,385727500,ok,VNINDEX
115,2022-09-16,1243.15,1246.17,1230.37,1234.03,594453000,ok,VNINDEX
116,2022-09-19,1231.8,1233.46,1202.07,1205.43,641804000,ok,VNINDEX
117,2022-09-20,1212.08,1218.93,1199.71,1218.93,412723400,ok,VNINDEX
118,2022-09-21,1213.2,1217.28,1204.68,1210.55,325527500,ok,VNINDEX
119,2022-09-22,1200.34,1214.7,1196.64,1214.7,435982100,ok,VNINDEX
120,2022-09-23,1214.81,1216.59,1201.45,1203.28,443208000,ok,VNINDEX
121,2022-09-26,1186.41,1190.27,1159.12,1174.35,701894100,ok,VNINDEX
122,2022-09-27,1177.66,1180.75,1166.44,1166.54,415135800,ok,VNINDEX
123,2022-09-28,1158.6,1162.6,1142.79,1143.62,496730000,ok,VNINDEX
124,2022-09-29,1149.78,1159.49,1126.07,1126.07,415993300,ok,VNINDEX
125,2022-09-30,1116.11,1135.47,1099.44,1132.11,612447100,ok,VNINDEX
126,2022-10-03,1124.46,1126.46,1079.86,1086.44,501911900,ok,VNINDEX
127,2022-10-04,1095.73,1100.42,1069.74,1078.14,513862500,ok,VNINDEX
128,2022-10-05,1092.08,1110.21,1092.08,1104.26,396842100,ok,VNINDEX
129,2022-10-06,1105.31,1106.97,1072.57,1074.52,499954800,ok,VNINDEX
130,2022-10-07,1060.58,1062.23,1022.38,1035.91,788668100,ok,VNINDEX
131,2022-10-10,1022.22,1051.02,1012.94,1042.48,541876100,ok,VNINDEX
132,2022-10-11,1036.48,1036.48,998.64,1006.2,580908400,ok,VNINDEX
133,2022-10-12,1006.74,1039.44,1002.89,1034.81,532825500,ok,VNINDEX
134,2022-10-13,1034.48,1050.99,1025.04,1050.99,402643700,ok,VNINDEX
135,2022-10-14,1063.07,1068.12,1055.29,1061.85,506303900,ok,VNINDEX
136,2022-10-17,1053.64,1054.05,1033.59,1051.58,435723100,ok,VNINDEX
137,2022-10-18,1065.6,1071.74,1057.71,1063.66,466433900,ok,VNINDEX
138,2022-10-19,1065.24,1065.99,1052.29,1060.07,345418600,ok,VNINDEX
139,2022-10-20,1056.14,1065.28,1048.21,1058.45,352502000,ok,VNINDEX
