date,ensemble
2019-04-08,10000000000.0
2019-04-09,9999447909.941154
2019-04-10,9998909022.336843
2019-04-11,9999469835.589392
2019-04-12,9999013183.478563
2019-04-16,9998149509.879423
2019-04-17,9995878440.318071
2019-04-18,9993417693.94674
2019-04-19,9994744806.261726
2019-04-22,9995628393.6426
2019-04-23,9997033607.26994
2019-04-24,10000600763.54891
2019-04-25,9999093642.928398
2019-04-26,9999847455.420538
2019-05-02,9998857510.703892
2019-05-03,9996638168.741743
2019-05-06,9988707215.460949
2019-05-07,9989216601.894722
2019-05-08,9988085676.204803
2019-05-09,9988925448.5386
2019-05-10,9991318660.06479
2019-05-13,9991767107.052565
2019-05-14,9996022987.59315
2019-05-15,10004552955.528313
2019-05-16,10008752146.23824
2019-05-17,10007827874.763014
2019-05-20,10016377908.120852
2019-05-21,10014319222.787275
2019-05-22,10012119808.58897
2019-05-23,10012978521.416664
2019-05-24,9997282837.112991
2019-05-27,9999352152.288515
2019-05-28,9998589194.055977
2019-05-29,9998087298.648647
2019-05-30,9998281741.664885
2019-05-31,9984532092.75189
2019-06-03,9973659535.747696
2019-06-04,9975553112.360476
2019-06-05,9978204087.83115
2019-06-06,9976393470.44369
2019-06-07,9989808261.01368
2019-06-10,9996882232.999432
2019-06-11,9996948450.165577
2019-06-12,9984328886.112492
2019-06-13,9981853844.911348
2019-06-14,9988075160.923431
2019-06-17,9980897097.16319
2019-06-18,9981791444.637
2019-06-19,9997735194.814394
2019-06-20,10013573654.391151
2019-06-21,10006553768.683027
2019-06-24,10021758673.736588
2019-06-25,10018976845.966265
2019-06-26,10011645588.14898
2019-06-27,9992516089.756348
2019-06-28,10001425222.3406
2019-07-01,10021374391.63886
2019-07-02,10005753691.846024
2019-07-03,9993663797.71396
2019-07-04,10019079731.14854
2019-07-05,10019464322.410933
2019-07-08,10004400621.287884
2019-07-09,10009303481.242304
2019-07-10,10020298399.112305
2019-07-11,10030111998.949154
2019-07-12,10020817961.799858
2019-07-15,10012592625.000477
2019-07-16,10028632747.442747
2019-07-17,10032895082.456575
2019-07-18,10019206401.151756
2019-07-19,10041865598.299168
2019-07-22,10036310121.306942
2019-07-23,10052811483.852743
2019-07-24,10046934596.903387
2019-07-25,10054564250.787642
2019-07-26,10052230181.097618
2019-07-29,10068120542.136118
2019-07-30,10047919808.638096
2019-07-31,10045173739.86926
2019-08-01,10058468840.004951
2019-08-02,10037291534.374777
2019-08-05,9998059682.70481
2019-08-06,9979843961.12091
2019-08-07,9982656935.439934
2019-08-08,10016205368.413168
2019-08-09,10016449118.875034
2019-08-12,10012891802.235376
2019-08-13,9996033876.729218
2019-08-14,9999031263.443586
2019-08-15,10022022278.93253
2019-08-16,10027253968.84683
2019-08-19,10022824882.7767
2019-08-20,10032898851.374453
2019-08-21,10069173704.001469
2019-08-22,10077316807.632042
2019-08-23,10075444058.234455
2019-08-26,10060072439.74758
2019-08-27,10049563781.805511
2019-08-28,10050559604.007883
2019-08-29,10054098369.172304
2019-08-30,10069884051.051552
2019-09-03,10046715297.11438
2019-09-04,10046230169.313896
2019-09-05,10042405458.78608
2019-09-06,10039720078.033163
2019-09-09,10035421065.31731
2019-09-10,10023706958.980516
2019-09-11,10034565408.791996
2019-09-12,10071785400.309044
