train/learning_rate,train/entropy_loss,train/value_loss,time/time_elapsed,time/total_timesteps,train/explained_variance,time/iterations,train/std,train/reward,train/n_updates,train/policy_loss,time/fps
0.0007,-41.25884246826172,0.6134833097457886,1,500,-1.3828277587890625e-05,100,1.0039103031158447,-0.21007279,99,-29.36223793029785,396
0.0007,-41.30438995361328,0.24976131319999695,2,1000,0.3635846972465515,200,1.005741834640503,0.026236836,199,6.938864231109619,385
0.0007,-41.34635925292969,0.2201571762561798,3,1500,-0.0014265775680541992,300,1.0068987607955933,-0.03899439,299,-5.128043174743652,394
0.0007,-41.32243347167969,1.036349892616272,4,2000,0.34116166830062866,400,1.006215214729309,1.5560186,399,39.460227966308594,400
0.0007,-41.36823654174805,3.0577261447906494,6,2500,-0.169205904006958,500,1.0079894065856934,-0.32672426,499,59.5293083190918,404
0.0007,-41.40184783935547,1.872767448425293,7,3000,-0.1906569004058838,600,1.0090245008468628,0.500232,599,-49.8097038269043,406
0.0007,-41.438968658447266,1.2677541971206665,8,3500,-0.03606998920440674,700,1.0101710557937622,1.1121178,699,-38.36507797241211,407
0.0007,-41.401695251464844,3.4270987510681152,9,4000,-0.08297860622406006,800,1.009263038635254,-1.089963,799,17.011301040649414,408
0.0007,-41.42766571044922,1.579816222190857,11,4500,-0.19052934646606445,900,1.0101779699325562,2.1487844,899,36.73942565917969,408
0.0007,-41.37369918823242,1.3620367050170898,12,5000,0.0,1000,1.0082809925079346,0.5066047,999,45.81804656982422,409
0.0007,-41.327022552490234,1.0832855701446533,13,5500,0.0,1100,1.006532907485962,-0.25643095,1099,-10.041666984558105,411
0.0007,-41.369781494140625,2.416555404663086,14,6000,-1.1920928955078125e-07,1200,1.0079158544540405,0.09920769,1199,-62.73119354248047,413
0.0007,-41.393402099609375,6.533145904541016,15,6500,-0.07602179050445557,1300,1.0087945461273193,0.03270517,1299,-100.8542251586914,413
0.0007,-41.43734359741211,0.7833482623100281,16,7000,0.07494693994522095,1400,1.0102522373199463,-1.0509391,1399,-30.026386260986328,414
0.0007,-41.48334884643555,6.716595649719238,18,7500,0.0,1500,1.01202392578125,-0.26146933,1499,91.21997833251953,414
0.0007,-41.457908630371094,0.692733883857727,19,8000,1.7881393432617188e-07,1600,1.0110095739364624,0.7305694,1599,4.485630989074707,414
0.0007,-41.4728889465332,1.1329809427261353,20,8500,1.1920928955078125e-07,1700,1.0115501880645752,-0.13267596,1699,19.629730224609375,412
0.0007,-41.52558517456055,1.694679856300354,21,9000,0.0,1800,1.0135772228240967,-0.7990019,1799,-44.390865325927734,413
0.0007,-41.59465789794922,2.3694329261779785,23,9500,0.0,1900,1.0159722566604614,-0.44969186,1899,-52.285179138183594,410
0.0007,-41.61362075805664,6.631739139556885,24,10000,0.0,2000,1.016889214515686,-0.7303273,1999,-97.93086242675781,408
0.0007,-41.69364929199219,1.2103393077850342,25,10500,0.0,2100,1.0195581912994385,-0.4839967,2099,12.816812515258789,408
0.0007,-41.74774932861328,7.688523292541504,26,11000,0.0,2200,1.021491527557373,-0.9435205,2199,-96.05055236816406,409
0.0007,-41.690181732177734,1.4906656742095947,28,11500,0.0,2300,1.0194743871688843,0.0456024,2299,-28.996021270751953,409
0.0007,-41.71867752075195,1.3980220556259155,29,12000,0.0,2400,1.0208594799041748,0.08487331,2399,-15.509674072265625,408
0.0007,-41.709354400634766,1.2624660730361938,30,12500,-0.6997795104980469,2500,1.0203614234924316,-0.3330048,2499,-16.60342788696289,408
0.0007,-41.73817443847656,0.6639431715011597,31,13000,-1.1920928955078125e-07,2600,1.0212682485580444,-0.2189926,2599,3.1973681449890137,408
0.0007,-41.76142883300781,2.9221749305725098,33,13500,5.960464477539063e-08,2700,1.0221306085586548,-1.6705811,2699,10.100111961364746,408
0.0007,-41.82152557373047,2.1954288482666016,34,14000,-1.8303594589233398,2800,1.0243455171585083,0.8329664,2799,-32.21323776245117,408
