account_rewards,date
9813599.83685112,2019-07-10
-9294037.149295807,2019-07-11
-8225336.799383163,2019-07-12
16040122.442272186,2019-07-15
4262335.013828278,2019-07-16
-13688681.304819107,2019-07-17
22659197.147411346,2019-07-18
-5555476.992225647,2019-07-19
16501362.54580307,2019-07-22
-5876886.949356079,2019-07-23
7629653.884252548,2019-07-24
-2334069.6900234222,2019-07-25
15890361.038499832,2019-07-26
-20200733.49802208,2019-07-29
-2746068.768836975,2019-07-30
13295100.135692596,2019-07-31
-21177305.630176544,2019-08-01
-39231851.669965744,2019-08-02
-18215721.583898544,2019-08-05
2812974.3190231323,2019-08-06
33548432.973234177,2019-08-07
243750.46186637878,2019-08-08
-3557316.6396579742,2019-08-09
-16857925.50615883,2019-08-12
2997386.71436882,2019-08-13
22991015.4889431,2019-08-14
5231689.914300919,2019-08-15
-4429086.070131302,2019-08-16
10073968.597753525,2019-08-19
36274852.62701416,2019-08-20
8143103.63057518,2019-08-21
-1872749.3975868225,2019-08-22
-15371618.486875534,2019-08-23
-10508657.9420681,2019-08-26
995822.2023715973,2019-08-27
3538765.1644210815,2019-08-28
15785681.879247665,2019-08-29
-23168753.937171936,2019-08-30
-485127.8004837036,2019-09-03
-3824710.527814865,2019-09-04
-2685380.7529182434,2019-09-05
-4299012.715852737,2019-09-06
-11714106.336795807,2019-09-09
10858449.811481476,2019-09-10
37219991.51704788,2019-09-11
21322899.835359573,2019-09-12
20117675.654268265,2019-09-13
17929184.351709366,2019-09-16
-14496889.007406235,2019-09-17
8319511.886461258,2019-09-18
-17925392.261537552,2019-09-19
-23527724.720394135,2019-09-20
16108759.177845001,2019-09-23
10084252.517620087,2019-09-24
7471555.969963074,2019-09-25
23140009.245731354,2019-09-26
-11051148.779224396,2019-09-27
10480054.347860336,2019-09-30
-21284796.19522667,2019-10-01
-3091026.5004253387,2019-10-02
-10150823.749031067,2019-10-03
-19273810.8652153,2019-10-04
