date,BVH,CTG,DIG,DXG,EIB,FPT,HAG,HCM,HPG,HQC,HSG,HUT,ITA,KBC,KDH,MBB,MSN,NVB,PDR,PVD,PVS,REE,SBT,SHS,SSI,STB,TTF,VCB,VIC,VNM
2020-01-06,0,100,100,-100,-100,100,-100,0,100,100,0,0,-100,0,-100,0,0,100,100,100,100,100,100,100,100,-100,0,-100,100,-100
2020-01-07,0,100,100,-100,-100,100,-100,0,100,100,0,0,-100,0,-100,0,0,100,100,100,100,100,100,100,100,-100,0,-100,100,-100
2020-01-08,0,100,100,-100,-100,100,-100,0,100,100,0,0,-100,0,-100,0,0,100,100,100,100,100,100,100,100,-100,0,-100,100,-100
2020-01-09,0,100,100,-100,-100,100,-100,0,100,100,0,0,-100,0,-100,0,0,100,100,100,100,100,100,100,100,-100,0,-100,100,-100
2020-01-10,0,100,100,-100,-100,100,-100,0,100,100,0,0,-100,0,-100,0,0,100,100,100,100,100,100,100,100,-100,0,-100,100,-100
2020-01-13,0,100,100,-100,-100,100,-100,0,100,100,0,0,-100,0,-100,0,0,100,100,100,100,100,100,100,100,-100,0,-100,100,-100
2020-01-14,0,100,100,-100,-100,100,-100,0,100,100,0,0,-100,0,-100,0,0,100,100,100,100,100,100,100,100,-100,0,-100,100,-100
2020-01-15,0,100,100,-100,-100,100,-100,0,100,100,0,0,-100,0,-100,0,0,100,100,100,100,100,100,100,100,-100,0,-100,100,-100
2020-01-16,0,100,100,-100,-100,100,-100,0,100,100,0,0,-100,0,-100,0,0,100,100,100,100,100,100,100,100,-100,0,-100,100,-100
2020-01-17,0,100,100,-100,-100,100,-100,0,100,100,0,0,-100,0,-100,0,0,100,100,100,100,100,100,100,100,-100,0,-100,100,-100
2020-01-20,0,100,100,-100,-100,100,-100,0,100,100,0,0,-100,0,-100,0,0,100,100,100,100,100,100,100,100,-100,0,-100,100,-100
2020-01-21,0,100,100,-100,-100,100,-100,0,100,100,0,0,-100,0,-100,0,0,100,100,100,100,100,100,100,100,-100,0,-100,100,-100
2020-01-22,0,100,100,-100,-100,100,-100,0,100,100,0,0,-100,0,-100,0,0,100,100,100,100,100,100,100,100,-100,0,-100,100,-100
2020-01-30,0,100,100,-100,-100,100,-100,0,100,100,0,0,-100,0,-100,0,0,100,100,100,100,100,100,100,100,-100,0,-100,100,-100
2020-01-31,0,-1400,-7600,-17200,-4800,-1400,-4800,0,-7600,-1400,0,0,-4800,0,-4800,0,0,-1400,-1400,-20000,-7600,-1400,-1400,-1400,-7600,-4800,0,-4800,-1400,-4800
2020-02-03,0,100,100,0,0,100,0,0,100,100,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,0,0,0,100,0
2020-02-04,0,100,100,0,0,100,0,0,100,100,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,0,0,0,100,0
2020-02-05,0,100,100,0,0,100,0,0,100,100,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,0,0,0,100,0
2020-02-06,0,100,100,0,0,100,0,0,100,100,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,0,0,0,100,0
2020-02-07,0,100,100,0,0,100,0,0,100,100,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,0,0,0,100,0
