date,A2C,DDPG,PPO,TD3,SAC,Ensemble,VNINDEX
2019-01-02,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0
2019-01-03,9999727651.663013,9999754653.416195,9999947251.581068,9999599081.066381,9999608840.423712,10000000000.0,9848275862.068966
2019-01-04,10000067459.861858,9999599895.21032,9999973041.07656,9999655775.989056,10000073566.568415,10000000000.0,9878329128.118866
2019-01-07,10001410662.558443,10000302317.749214,10000194532.958113,10000762846.257069,10001547056.954353,10000000000.0,9976338659.938324
2019-01-08,10001077767.080256,10000553523.771088,10000149293.574104,10001194448.155415,10001154901.304914,10000000000.0,9951668068.404823
2019-01-09,10002045055.035646,10001275054.172436,10000334417.088964,10002359682.581158,10002057110.653704,10000000000.0,10058760863.470703
2019-01-10,10002261767.789207,10001778577.800404,10000351465.303093,10002668147.547651,10001953488.616121,10000000000.0,10073451079.338379
2019-01-11,10004220809.783798,10002628891.227697,10000546039.578463,10003439230.471653,10002911472.884537,10000000000.0,10122904401.457808
2019-01-14,10003150638.631712,10001897050.721798,10000522742.836428,10002895242.698177,10002773942.900822,10000000000.0,10112699747.68713
2019-01-15,10003774397.751698,10004122695.179972,10000740356.83622,10005751062.221445,10003015572.555916,10000000000.0,10201065320.998037
2019-01-16,10003983904.912682,10003518583.909786,10000528673.061016,10005028270.511505,10002366428.268028,10000000000.0,10190075693.860388
2019-01-17,10004647705.861792,10001881118.471308,10000213450.176712,10002492407.069645,10001044335.350985,10000000000.0,10113708999.158957
2019-01-18,10005655914.452518,10002576903.47467,10000361419.972572,10002888048.96724,10002225065.920137,10000000000.0,10118306700.308382
2019-01-21,10006769194.191685,10004250305.471067,10000682452.020082,10006693033.426403,10003405537.215542,10000000000.0,10216428371.180264
2019-01-22,10005354366.648321,10003886353.879236,10000716083.395998,10006272816.277561,10004049543.234404,10000000000.0,10165965797.58901
2019-01-23,10007058616.332819,10002237693.66504,10000671556.022278,10004851275.534122,10006138073.891228,10000000000.0,10184244463.134287
2019-01-24,10007723160.92607,10002371637.7283,10000838984.141022,10005727488.032013,10007068453.549343,10000000000.0,10191084945.332212
2019-01-25,10010579798.87047,10003693489.780111,10001048800.424894,10006981356.59836,10007404645.965673,10000000000.0,10192094196.804037
2019-01-28,10013674799.913715,10006154619.181358,10001292061.505337,10010290442.258266,10010287356.8891,10000000000.0,10229100084.104288
2019-01-29,10016036458.213165,10009980955.081728,10001321793.007257,10013801194.991613,10010953660.047968,10000000000.0,10271152228.763666
2019-01-30,10017034078.250755,10009872320.764559,10001122806.47678,10014400934.892904,10008304711.177837,10000000000.0,10270142977.291843
2019-01-31,10008371929.64189,10007354333.89685,10000930967.598276,10012040305.132101,10007012103.25812,10000000000.0,10211942809.083263
2019-02-01,10015446486.081556,10000313140.461796,10001171418.768093,10005144651.625298,9997328734.709837,10000000000.0,10189739276.703112
2019-02-11,10022222588.64487,10020594260.417702,10002791775.734314,10028505849.775854,10016585919.079517,10000000000.0,10385197645.0799
2019-02-12,10026241659.40181,10040544351.801737,10003475182.146786,10047891154.739191,10034328243.689926,10000000000.0,10513484721.054108
2019-02-13,10031136718.346386,10050552127.325018,10004315620.895424,10061279651.45975,10037020888.28632,10000000000.0,10599943930.473787
2019-02-14,10033004083.524273,10058159795.579361,10004745706.235956,10069474888.84363,10046171848.87377,10000000000.0,10679450518.643118
2019-02-15,10033944422.645271,10051671968.390167,10004783414.300495,10064818973.456442,10047474663.616072,10000000000.0,10663190356.041492
